ins: 13842 32768
del: 73695 32768
dec: 7539 32768
ins: 20477 65536
del: 135446 65536
dec: 16763 65536
ins: 36489 131072
del: 276708 131072
dec: 34516 131072
ins: 71742 262144
del: 564914 262144
dec: 68838 262144
ins: 144577 524288
del: 1163023 524288
dec: 135802 524288
ins: 285423 1048576
del: 2395497 1048576
dec: 275955 1048576
ins: 570038 2097152
del: 4871953 2097152
dec: 553204 2097152
ins: 1849747 4194304
del: 10649605 4194304
dec: 1151379 4194304
ins: 3683600 8388608
del: 22800493 8388608
dec: 2981718 8388608
ins: 7370046 16777216
del: 95361323 16777216
dec: 112168287 16777216
